Tweet ID,User ID,Username,Mentions,Fav Count,Hashtags,Date,Tweet
912011671484424192,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'AfDimBundestag', 'name': 'AfD-Fraktion im Deutschen Bundestag 🇩🇪', 'id': 910913583168573440, 'id_str': '910913583168573440', 'indices': [105, 120]}]",0,"[{'text': 'AfD', 'indices': [80, 84]}]",2017-09-24 17:51:41,"RT @AfD: Der offizielle Account der sich in der nächsten Woche konstituierenden #AfD-Fraktion lautet:
 @AfDimBundestag
Bitte folgen!
#Btw…"
912011505759129600,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'Btw17', 'indices': [37, 43]}, {'text': 'AfD', 'indices': [56, 60]}]",2017-09-24 17:51:01,"RT @AfD: Aktuelle Hochrechnungen zur #Btw17 - Werte der #AfD:

ZDF - 19.30 Uhr: 1⃣3⃣,2⃣ %

ARD - 19.41 Uhr: 1⃣3⃣,3⃣ %

 @AfDimBun…"
912003754223955971,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,[],2017-09-24 17:20:13,"RT @AfD: Hochrechnungen:

ARD - 18.57 Uhr: 1⃣3⃣,2⃣ Prozent

ZDF - 19.00 Uhr: 1⃣3⃣,2⃣ Prozent https://t.co/Q3Q8YPWTF7"
911997383264829442,833398209053605888,Alice Weidel,[],2848,"[{'text': 'AfD', 'indices': [30, 34]}, {'text': 'Btw17', 'indices': [98, 104]}]",2017-09-24 16:54:54,"Von mein tiefer Dank an alle #AfD|ler, die durch Einsatz, Mut und Leidenschaft dieses großartige #Btw17 -Ergebnis möglich gemacht haben! https://t.co/eynJxMrykI"
911995090167631872,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,[],2017-09-24 16:45:48,"RT @AfD: 2. Hochrechnungen:

ARD - 18.35 Uhr: 1⃣3⃣,3⃣ Prozent

ZDF - 18.38 Uhr: 1⃣3⃣,2⃣ Prozent

Fraktions-Account folgen: @AfDimBu…"
911993771763666945,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'AfD', 'indices': [65, 69]}]",2017-09-24 16:40:33,"RT @AfD: Hochrechnung ARD 18.12 Uhr:

1⃣3⃣,4⃣ Prozent für die #AfD! https://t.co/swXHAXmVw1"
911989368310632448,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'Hochrechnung', 'indices': [9, 22]}, {'text': 'AfD', 'indices': [68, 72]}]",2017-09-24 16:23:04,"RT @AfD: #Hochrechnung ZDF - 18.14 Uhr:

1⃣3⃣,2⃣ Prozent für die #AfD! https://t.co/yJB91AE5W0"
911988346913771520,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'AfDimBundestag', 'name': 'AfD-Fraktion im Deutschen Bundestag 🇩🇪', 'id': 910913583168573440, 'id_str': '910913583168573440', 'indices': [113, 128]}]",0,"[{'text': 'Btw17', 'indices': [23, 29]}, {'text': 'AfD', 'indices': [64, 68]}, {'text': 'AfD', 'indices': [103, 107]}]",2017-09-24 16:19:00,"RT @AfD: Prognosen zur #Btw17:

ARD: 1⃣3⃣,5⃣Prozent für die #AfD!

ZDF: 1⃣3⃣,0⃣Prozent für die #AfD!

 @AfDimBundestag  htt…"
911978032424001536,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'GuidoReil', 'name': 'Guido Reil, AfD', 'id': 802958013644632064, 'id_str': '802958013644632064', 'indices': [33, 43]}]",0,"[{'text': 'Btw17', 'indices': [107, 113]}, {'text': 'TrauDichDeutschland', 'indices': [115, 135]}]",2017-09-24 15:38:01,"RT @AfD: Wahlparty-Interview mit @GuidoReil - aufgenommen rund 45 Minuten vor Verkündung der Prognosen zur #Btw17:
#TrauDichDeutschland #Af…"
911970323079290880,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'Beatrix_vStorch', 'name': 'Beatrix von Storch', 'id': 805308596, 'id_str': '805308596', 'indices': [23, 39]}, {'screen_name': 'AfDBerlin', 'name': 'AfD Berlin', 'id': 2356198197, 'id_str': '2356198197', 'indices': [63, 73]}]",0,"[{'text': 'Btw17', 'indices': [78, 84]}, {'text': 'AfD', 'indices': [113, 117]}]",2017-09-24 15:07:23,"RT @AfD: Interview mit @Beatrix_vStorch, Spitzenkandidatin der @AfDBerlin zur #Btw17 und stellv. Vorsitzende der #AfD, auf der Wahlparty in…"
911650780175912961,833398209053605888,Alice Weidel,"[{'screen_name': 'Mundaufmachen', 'name': 'AfD-Mitglied werden!', 'id': 3448073356, 'id_str': '3448073356', 'indices': [3, 17]}]",0,"[{'text': 'Btw17', 'indices': [32, 38]}, {'text': 'Endspurt', 'indices': [39, 48]}, {'text': 'AfD', 'indices': [96, 100]}]",2017-09-23 17:57:38,RT @Mundaufmachen: Damit ihr im #Btw17-#Endspurt nicht lange suchen müsst: Download kostenloser #AfD-Grafiken.  https://t.co/B7Eb7C8pXJ!…
911630301415313409,833398209053605888,Alice Weidel,"[{'screen_name': 'Mundaufmachen', 'name': 'AfD-Mitglied werden!', 'id': 3448073356, 'id_str': '3448073356', 'indices': [3, 17]}, {'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [29, 33]}]",0,"[{'text': 'TrauDichDeutschland', 'indices': [42, 62]}, {'text': 'Btw17', 'indices': [64, 70]}, {'text': 'AfD', 'indices': [74, 78]}, {'text': 'Btw2017', 'indices': [130, 138]}]",2017-09-23 16:36:15,RT @Mundaufmachen: Am 24.09. @AfD wählen! #TrauDichDeutschland: #Btw17  #AfD  In voller Länge auf https://t.co/IFBryO1RcW! (: #Btw2017…
911618272273080320,833398209053605888,Alice Weidel,"[{'screen_name': 'Mundaufmachen', 'name': 'AfD-Mitglied werden!', 'id': 3448073356, 'id_str': '3448073356', 'indices': [3, 17]}, {'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [135, 139]}]",0,"[{'text': 'AfD', 'indices': [39, 43]}]",2017-09-23 15:48:27,"RT @Mundaufmachen: Wieder Attacken auf #AfD-Infostände, linksextreme Gewalt+Drohungen! JETZT ERST RECHT bis zur letzten Minute für die @AfD…"
911572709376655360,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'AfD', 'indices': [100, 104]}, {'text': 'Btw17', 'indices': [106, 112]}, {'text': 'TrauDichDeutschland', 'indices': [113, 133]}]",2017-09-23 12:47:24,"RT @AfD: Wir freuen uns sehr, Dich als Unterstützer zu haben! Bitte gib Deine Stimme am Sonntag der #AfD! #Btw17 #TrauDichDeutschland https…"
911572650182443008,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'Alice_Weidel', 'name': 'Alice Weidel', 'id': 833398209053605888, 'id_str': '833398209053605888', 'indices': [13, 26]}]",0,"[{'text': 'Btw17', 'indices': [57, 63]}, {'text': 'TrauDichDeutschland', 'indices': [112, 132]}, {'text': 'AfD', 'indices': [134, 138]}]",2017-09-23 12:47:10,"RT @AfD: Dr. @Alice_Weidel, unsere Spitzenkandidatin zur #Btw17, bringt es auf den Punkt:
»Deutschland zuerst!«
#TrauDichDeutschland: #AfD…"
911535480839245824,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}, {'screen_name': 'Joerg_Meuthen', 'name': 'Prof. Dr. Jörg Meuthen', 'id': 710201540116652033, 'id_str': '710201540116652033', 'indices': [52, 66]}]",0,"[{'text': 'AfD', 'indices': [22, 26]}, {'text': 'Btw17', 'indices': [80, 86]}]",2017-09-23 10:19:28,"RT @AfD: +++-TIPP+++
#AfD-Bundessprecher Prof. Dr. @Joerg_Meuthen am Abend der #Btw17 zu Gast in der ""Berliner Runde""!
#TrauDichDeutschlan…"
911518809789550593,833398209053605888,Alice Weidel,"[{'screen_name': 'DrDavidBerger', 'name': 'David Berger', 'id': 112981901, 'id_str': '112981901', 'indices': [1, 15]}]",827,"[{'text': 'Btw17', 'indices': [72, 78]}, {'text': 'AfD', 'indices': [79, 83]}, {'text': 'TrauDichDeutschland', 'indices': [120, 140]}]",2017-09-23 09:13:14,".@DrDavidBerger erläutert per Videobotschaft seine Beweggründe, bei der #Btw17 #AfD zu wählen!
Herzlichen Dank dafür! 
#TrauDichDeutschland https://t.co/PZy8MmNNcF"
911228567329132544,833398209053605888,Alice Weidel,"[{'screen_name': 'WMuhsal', 'name': 'Wiebke Muhsal', 'id': 872882835887194112, 'id_str': '872882835887194112', 'indices': [3, 11]}]",0,[],2017-09-22 13:59:54,RT @WMuhsal: Meine Stimme für die AfD! https://t.co/8fCBspxCkS
911228528762540032,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'Btw17', 'indices': [85, 91]}, {'text': 'AfD', 'indices': [96, 100]}, {'text': 'TrauDichDeutschland', 'indices': [109, 129]}]",2017-09-22 13:59:45,"RT @AfD: Nur noch 2 Tage bis zur Wahl! Deine Stimme zählt! RETWEETE, wenn Du bei der #Btw17 die #AfD wählst! #TrauDichDeutschland https://t…"
911228492062261248,833398209053605888,Alice Weidel,"[{'screen_name': 'AfD', 'name': 'Alternative für 🇩🇪 Deutschland', 'id': 844081278, 'id_str': '844081278', 'indices': [3, 7]}]",0,"[{'text': 'Btw17', 'indices': [77, 83]}, {'text': 'AfD', 'indices': [109, 113]}]",2017-09-22 13:59:36,"RT @AfD: +++Ihre Meinung ist wieder gefragt!+++
Nach der letzten Umfrage zur #Btw17 nunmehr 1⃣3⃣ % für die #AfD - Welches Ergebnis erwart…"
